"OOR Code","Country of formation","Country Code (ISO 3166-1)","Jurisdiction of formation","Country sub-division code (ISO 3166-2)","Entity Legal Form name Local name (ELF)","ELF Code","Official Organizational Role (OOR)","Language","Language Code (ISO 639-1)","OOR Transliterated name (per ISO 01-140-10)","Abbreviations OOR Local language","Abbreviations OOR transliterated","Date created YYYY-MM-DD (ISO 8601)","OOR Status ACTV/INAC","Modification","Modification date YYYY-MM-DD (ISO 8601)","Reason","Applicable legislation / regulation"
"33LIQX","Australia","AU","","","Public Company limited by shares","R4KK","Shareholder","English","en","Shareholder","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.256C"
"3WNV8Z","Australia","AU","","","Public Company limited by shares","R4KK","Company secretary","English","en","Company secretary","Co.Sec.","Co.Sec.","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.188, 204A"
"7HL9LM","Australia","AU","","","Public Company limited by shares","R4KK","Member","English","en","Member","","","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.114, 117, 120"
"A532DM","Australia","AU","","","Limited Proprietary Company","TXVC","Managing director","English","en","Managing director","M.D., MD","M.D., MD","2023-06-28","ACTV","","","","Corporations Act 2001 - S.201J"
"DAGOEM","Australia","AU","","","Public Company limited by shares","R4KK","Officer","English","en","Officer","","","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.9(def'n), 199A"
"DYTPNW","Australia","AU","","","Limited Proprietary Company","TXVC","Administrator","English","en","Administrator","","","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.12, 198G"
"ESEKSK","Australia","AU","","","Limited Proprietary Company","TXVC","Company secretary","English","en","Company secretary","Co.Sec.","Co.Sec.","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.188, 204A"
"F0OX7C","Australia","AU","","","Public Company limited by shares","R4KK","Trustee","English","en","Trustee","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.283AC"
"FDYQIB","Australia","AU","","","Public Company limited by shares","R4KK","Administrator","English","en","Administrator","","","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.12, 198G"
"G7YO7S","Australia","AU","","","Limited Proprietary Company","TXVC","Debenture holder","English","en","Debenture holder","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.283AB"
"GIDXNF","Australia","AU","","","Limited Proprietary Company","TXVC","Director","English","en","Director","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.201A"
"HAFDYQ","Australia","AU","","","Limited Proprietary Company","TXVC","Auditor","English","en","Auditor","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.199A"
"HP8CKI","Australia","AU","","","Limited Proprietary Company","TXVC","Officer","English","en","Officer","","","2023-06-28","ACTV","","","","Corporations Act 2001 - Ss.9(def'n), 199A"
"HQKRJO","Australia","AU","","","Limited Proprietary Company","TXVC","Alternate director","English","en","Alternate director","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.198C, 201K"
"IH5NZG","Australia","AU","","","Public Company limited by shares","R4KK","Liquidator","English","en","Liquidator","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.12"
"J0HR5I","Australia","AU","","","Public Company limited by shares","R4KK","Managing director","English","en","Managing director","M.D., MD","M.D., MD","2023-06-28","ACTV","","","","Corporations Act 2001 - S.198C, 201J"
"JQ51TP","Australia","AU","","","Public Company limited by shares","R4KK","Debenture holder","English","en","Debenture holder","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.283AB"
"KR8NGL","Australia","AU","","","Trust","7TPC","Beneficiary","English","en","Beneficiary","","","2023-06-28","ACTV","","","","Trusts (Hague Convention) Act 1991 - Art.8"
"LYT5PB","Australia","AU","","","Limited Proprietary Company","TXVC","Trustee","English","en","Trustee","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.283AC"
"MT1VXK","Australia","AU","","","Public Company limited by shares","R4KK","Alternate director","English","en","Alternate director","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.198C, 201K"
"NLZLDC","Australia","AU","","","Limited Proprietary Company","TXVC","Liquidator","English","en","Liquidator","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.12"
"NPYQBJ","Australia","AU","","","Public Company limited by shares","R4KK","Receiver","English","en","Receiver","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.12"
"OLUMDL","Australia","AU","","","Trust","7TPC","Trustee","English","en","Trustee","","","2023-06-28","ACTV","","","","Trusts (Hague Convention) Act 1991 - Art.2"
"ORL3QI","Australia","AU","","","Limited Proprietary Company","TXVC","Receiver","English","en","Receiver","","","2023-06-28","ACTV","","","","Corporations Act 2001 - S.12"
